cluster,jobs,most_common_skills,most_common_education,average_experience
39,professor; charge; boss; community manager; business; business developer; workforce; head of department; head; professional; assessor; group manager; human resources bp; asst professor; businessman; manager assistant; house wife; junior account manager; project manager assistant; human resources services; secretary general; logistic manager; around; market access; business man; assistant internship; self employee; trained; united nations; bussiness; field coach; operations planning; asst prof; headhunter; education teacher,"microsoft office, management, business strategy, lecturing, customer service",Bachelor's Degree,4.11
40,office manager; receptionist; secretary; office assistant; clerk; office administrator; administrative officer; office coordinator; administrative secretary; office clerk; school secretary; admin officer; administration officer; executive assistant to ceo; business administrator; office; chief administrative officer; assistant office manager; operations administrator; officer manager; executive assistant to the president; clerical officer; senior secretary; office supervisor; office admin; assistant secretary; assistant to the president; senior clerk; office administration; office associate,"outlook, office administration, customer service, administrative assistant, data entry",Bachelor's Degree,3.1
41,staff accountant; accounting manager; accounting; accounting assistant; accounting clerk; accounts assistant; accounts manager; chief accountant; accounts; accounts officer; accounting supervisor; accounting specialist; account assistant; chartered accountant; accounting staff; trainee accountant; accounting associate; accounting analyst; accounts clerk; senior staff accountant; accounting technician; internal audit manager; senior audit associate; accounting coordinator; accounting officer; property accountant; accounting department; accounts administrator; account clerk; account analyst,"accounting, account reconciliation, accounts receivable, accounts payable, financial reporting",Bachelor's Degree in Accounting,2.77
42,assistant professor; adjunct professor; visiting professor; faculty member; visiting assistant professor; teaching fellow; adjunct assistant professor; visiting faculty; adjunct faculty member,"teaching, adjunct professor, student affairs, instructor, adjunct faculty",Master's Degree,3.22
43,production assistant; production coordinator; associate producer; production intern; videographer; sound engineer; production associate; assistant producer; director of photography; production specialist; greater los angeles area | professional profile; head of production; freelance producer; freelance videographer,"film production, video production, television, producer, video editing",Bachelor's Degree in Film Production,3.36
44,police officer; correctional officer; deputy sheriff; corrections officer; probation officer; chief of police; patrol officer,"criminal justice, public safety, law enforcement, police officer, criminal investigations",Bachelor's Degree,3.29
45,human resources manager; human resources benefits director; human resources assistant; director of human resources; human resources generalist; hr business partner; hr specialist; human resources director; human resources coordinator; human resource manager; human resources specialist; hr officer; human resources intern; hr director; human resources business partner; director-human resources; human resources officer; director human resources; human resources representative; chief human resources officer; vice president of human resources; human resource director; hr associate; manager human resources; human resource assistant; human resource; head of human resources; hr trainee; human resource specialist; human resources analyst; hr analyst; human resources advisor; human resources associate; human resource officer; human resource generalist; senior human resources manager; assistant manager hr; director of hr; head of hr; senior human resources generalist; senior hr business partner; hr representative,"employee relations, hris, performance management, human resources, recruiting",Bachelor's Degree,4.91
46,information technology director; chief technology officer; chief information officer; director of engineering; director of information technology; director of technology; technology manager; director information technology; information technology executive; technology coordinator; director of it; manager information technology; chief technical officer; head of it; vice president information technology; vice president of engineering; technology director; engineering director,"information technology, it management, it operations, data center, director of information technology",Master's Degree,9.17
47,security officer; security; security guard; security manager; security supervisor; security specialist; security analyst; security engineer; information security analyst; network security engineer; director of security,"security operations, security, surveillance, security training, corporate security",Bachelor's Degree,4.36
48,coach; head coach; assistant coach; physical education teacher; athletic director; teacher/coach; athletic trainer; athlete; football coach; assistant golf professional; club manager; assistant football coach; tennis coach; soccer coach; pe teacher; tennis instructor; strength and conditioning coach; basketball coach; gymnastics coach; professional athlete,"sports management, athletics, sports, sports coaching, scouting",Bachelor's Degree in Physical Education,3.25
49,warehouse supervisor; warehouse associate; warehouse; overnight stocker; shipping clerk; warehouse assistant; warehouse operative; shipping coordinator; receiving clerk; shipping supervisor; warehouseman; shipping and receiving clerk; shipping and receiving; warehouse clerk; warehouse employee,"forklift operator, forklift operation, warehousing, shipping, distribution center operations",High School Diploma,1.93
50,mechanical engineer; production engineer; application engineer; mechanical design engineer; applications engineer; professional engineer; senior mechanical engineer; associate engineer; mechanical engineering intern; electronic engineer; engineering supervisor; commissioning engineer; consulting engineer; engineering consultant; senior application engineer; electrical engineering intern; senior product engineer; engineering specialist; mechanical engineering; field application engineer; engineering/technical; engineer in training,"engineering, manufacturing, electronics, cad, finite element analysis",Bachelor's Degree in Electrical Engineering,3.73
51,law clerk; attorney at law; summer associate; of counsel; staff attorney; senior counsel; legal officer; corporate counsel; associate lawyer; contract attorney; assistant district attorney; house counsel; summer law clerk; trainee lawyer; litigation associate,"legal writing, legal research, legal intern, attorney, litigation",Juris Doctor,2.8
52,business analyst; systems analyst; senior business analyst; operations analyst; business systems analyst; senior systems analyst; project analyst; human resources information systems; sr business analyst; business intelligence analyst; it business analyst; business system analyst; business process analyst; product analyst; application analyst; lead business analyst; process analyst; reporting analyst; information analyst; senior business systems analyst; functional analyst; business intelligence developer,"business analysis, business analyst, visio, requirements analysis, sdlc",Bachelor's Degree,3.86
